ENSSSCG00000020823	BSCL2	ENSSSCT00000025488
ENSSSCG00000007526	ZNF831	ENSSSCT00000008253
ENSSSCG00000011536	NAN	ENSSSCT00000012626
ENSSSCG00000000654	NAN	ENSSSCT00000000710,ENSSSCT00000032861
ENSSSCG00000020883	NAN	ENSSSCT00000025151
ENSSSCG00000016830	PRLR	ENSSSCT00000036206,ENSSSCT00000018325
ENSSSCG00000005233	DMRT2	ENSSSCT00000005767,ENSSSCT00000022600
ENSSSCG00000000393	PAN2	ENSSSCT00000000424
ENSSSCG00000025588	FJX1	ENSSSCT00000027305
ENSSSCG00000008185	MITD1	ENSSSCT00000008964
ENSSSCG00000009399	CYSLTR2	ENSSSCT00000010298
ENSSSCG00000027060	TBX2	ENSSSCT00000031698
ENSSSCG00000002642	CDH15	ENSSSCT00000002932
ENSSSCG00000028486	NAN	ENSSSCT00000030150
ENSSSCG00000025057	NAN	ENSSSCT00000029348
ENSSSCG00000028259	NAN	ENSSSCT00000030419,ENSSSCT00000027739,ENSSSCT00000023389
ENSSSCG00000014672	TRIM6	ENSSSCT00000016023,ENSSSCT00000034639,ENSSSCT00000032023,ENSSSCT00000035029
ENSSSCG00000016506	KLRG2	ENSSSCT00000017971
ENSSSCG00000012613	NKAP	ENSSSCT00000013792,ENSSSCT00000035353
ENSSSCG00000016763	NAN	ENSSSCT00000018248
ENSSSCG00000010233	DNAJC12	ENSSSCT00000011200
ENSSSCG00000001085	DCDC2	ENSSSCT00000001180,ENSSSCT00000033956
ENSSSCG00000012075	NAN	ENSSSCT00000013208
ENSSSCG00000029870	WNT3A	ENSSSCT00000031062
ENSSSCG00000004747	RTF1	ENSSSCT00000031282,ENSSSCT00000005246
ENSSSCG00000005101	NAN	ENSSSCT00000005623
ENSSSCG00000024810	PRAM1	ENSSSCT00000032462
ENSSSCG00000006354	TOMM40L	ENSSSCT00000006963
ENSSSCG00000029774	RNF7	ENSSSCT00000027810
ENSSSCG00000016216	NAN	ENSSSCT00000017657
ENSSSCG00000029617	CIR1	ENSSSCT00000028392
ENSSSCG00000025261	RUNX3	ENSSSCT00000028557
ENSSSCG00000002926	TBCB	ENSSSCT00000003232
ENSSSCG00000013631	TMED1	ENSSSCT00000014886
ENSSSCG00000027019	NAN	ENSSSCT00000024071
ENSSSCG00000010604	SH3PXD2A	ENSSSCT00000011600
ENSSSCG00000021950	TPPP2	ENSSSCT00000031459
ENSSSCG00000010680	FAM45A	ENSSSCT00000011681
ENSSSCG00000026521	NAN	ENSSSCT00000024122
ENSSSCG00000025636	NAN	ENSSSCT00000027361
ENSSSCG00000012186	NAN	ENSSSCT00000013331
ENSSSCG00000009365	NHLRC3	ENSSSCT00000010262
ENSSSCG00000029641	ZSCAN10	ENSSSCT00000025347,ENSSSCT00000025712
ENSSSCG00000024564	IMMT	ENSSSCT00000030815
ENSSSCG00000023834	NAN	ENSSSCT00000031991
ENSSSCG00000003861	NAN	ENSSSCT00000004273
ENSSSCG00000025388	NAN	ENSSSCT00000027081
ENSSSCG00000015322	TFPI2	ENSSSCT00000016695
ENSSSCG00000009567	RASA3	ENSSSCT00000010488
ENSSSCG00000028911	COLQ	ENSSSCT00000024153
ENSSSCG00000005205	KIAA2026	ENSSSCT00000030906,ENSSSCT00000005737
ENSSSCG00000024232	NAN	ENSSSCT00000022730
ENSSSCG00000025216	NAN	ENSSSCT00000022747
ENSSSCG00000002285	GPHN	ENSSSCT00000002545
ENSSSCG00000016175	MREG	ENSSSCT00000017612
ENSSSCG00000029022	NAN	ENSSSCT00000030400
ENSSSCG00000030230	NAN	ENSSSCT00000016070
ENSSSCG00000001887	SCAMP5	ENSSSCT00000002113
ENSSSCG00000021195	SYF2	ENSSSCT00000026402
ENSSSCG00000026300	NAN	ENSSSCT00000024677
ENSSSCG00000021287	NAN	ENSSSCT00000023923
ENSSSCG00000000841	APPL2	ENSSSCT00000000915
ENSSSCG00000000994	GMDS	ENSSSCT00000001084
ENSSSCG00000003505	DDOST	ENSSSCT00000003894
ENSSSCG00000026934	PIGX	ENSSSCT00000032391
ENSSSCG00000024168	AIMP1	ENSSSCT00000023345
ENSSSCG00000026326	CCNF	ENSSSCT00000028270
ENSSSCG00000004968	PAQR5	ENSSSCT00000005480
ENSSSCG00000024316	COX5A	ENSSSCT00000027931
ENSSSCG00000016261	NAN	ENSSSCT00000017706
ENSSSCG00000001447	BTNL3	ENSSSCT00000035777,ENSSSCT00000035293,ENSSSCT00000001602
ENSSSCG00000005413	NAN	ENSSSCT00000005956
ENSSSCG00000023280	SULT2B1	ENSSSCT00000027392
ENSSSCG00000014875	CAPN5	ENSSSCT00000016228
ENSSSCG00000017086	NAN	ENSSSCT00000018602
ENSSSCG00000030578	MRPL15	ENSSSCT00000024986
ENSSSCG00000023344	ZCCHC10	ENSSSCT00000028758
ENSSSCG00000006518	HCN3	ENSSSCT00000007138
ENSSSCG00000016746	NPC1L1	ENSSSCT00000018228
ENSSSCG00000030000	NAN	ENSSSCT00000027082
ENSSSCG00000030633	NAN	ENSSSCT00000023564
ENSSSCG00000025632	NAN	ENSSSCT00000023878
ENSSSCG00000025140	ZNF292	ENSSSCT00000029112
ENSSSCG00000017053	NIPAL4	ENSSSCT00000025764,ENSSSCT00000032026,ENSSSCT00000018566
ENSSSCG00000001698	CAPN11	ENSSSCT00000001897
ENSSSCG00000020910	STYXL1	ENSSSCT00000031464
ENSSSCG00000001016	NAN	ENSSSCT00000001108
ENSSSCG00000007901	CIITA	ENSSSCT00000008657,ENSSSCT00000033869
ENSSSCG00000025401	CDK10	ENSSSCT00000023993
ENSSSCG00000021070	NAN	ENSSSCT00000000496
ENSSSCG00000029566	NAN	ENSSSCT00000026525
ENSSSCG00000009409	NAN	ENSSSCT00000010310
ENSSSCG00000026533	MYF6	ENSSSCT00000001023
ENSSSCG00000017795	NSRP1	ENSSSCT00000019367
ENSSSCG00000017209	MIF4GD	ENSSSCT00000018734
ENSSSCG00000024969	NAN	ENSSSCT00000028869
ENSSSCG00000028068	NAN	ENSSSCT00000031308
ENSSSCG00000004917	MALT1	ENSSSCT00000005425,ENSSSCT00000034921,ENSSSCT00000034163,ENSSSCT00000036245
ENSSSCG00000001810	PDE8A	ENSSSCT00000002031,ENSSSCT00000002027,ENSSSCT00000002032
ENSSSCG00000028220	NAN	ENSSSCT00000023732
ENSSSCG00000010592	AS3MT	ENSSSCT00000011586
ENSSSCG00000030130	DPYSL2	ENSSSCT00000031898
ENSSSCG00000029675	MMP8	ENSSSCT00000016347
ENSSSCG00000015651	PIGR	ENSSSCT00000017048,ENSSSCT00000034050
ENSSSCG00000009023	DCLK2	ENSSSCT00000009882
ENSSSCG00000002781	KCTD19	ENSSSCT00000003079
ENSSSCG00000030251	NAN	ENSSSCT00000030836
ENSSSCG00000009830	MYL2	ENSSSCT00000010774
ENSSSCG00000008195	COX5B	ENSSSCT00000008974
ENSSSCG00000022853	OR51M1	ENSSSCT00000024493
ENSSSCG00000016753	POLD2	ENSSSCT00000018235
ENSSSCG00000011977	NAN	ENSSSCT00000013106
ENSSSCG00000029906	NAN	ENSSSCT00000030859
ENSSSCG00000022875	MEAF6	ENSSSCT00000023185
ENSSSCG00000023289	GREM2	ENSSSCT00000031842
ENSSSCG00000005776	NAN	ENSSSCT00000006352
ENSSSCG00000008982	STBD1	ENSSSCT00000009839
ENSSSCG00000028585	CBLL1	ENSSSCT00000024025
ENSSSCG00000011330	NAN	ENSSSCT00000012406
ENSSSCG00000015153	OR6T1	ENSSSCT00000016519
ENSSSCG00000020799	CPSF3	ENSSSCT00000027309
ENSSSCG00000001574	NAN	ENSSSCT00000001753
ENSSSCG00000022490	GPR83	ENSSSCT00000029658
ENSSSCG00000008547	CCDC121	ENSSSCT00000009352
ENSSSCG00000009257	GK2	ENSSSCT00000010137
ENSSSCG00000015984	HOXD4	ENSSSCT00000017405
ENSSSCG00000023960	UBR2	ENSSSCT00000024790
ENSSSCG00000016130	ZDBF2	ENSSSCT00000017563
ENSSSCG00000021339	NAN	ENSSSCT00000022476
ENSSSCG00000013123	NAN	ENSSSCT00000014343
ENSSSCG00000023141	RNLS	ENSSSCT00000026367
ENSSSCG00000026004	MSRB3	ENSSSCT00000028225
ENSSSCG00000016672	ADCYAP1R1	ENSSSCT00000030340,ENSSSCT00000018151
ENSSSCG00000009488	SLITRK5	ENSSSCT00000010403
ENSSSCG00000021266	MAP3K11	ENSSSCT00000028693
ENSSSCG00000007860	PDILT	ENSSSCT00000008611
ENSSSCG00000017804	ABR	ENSSSCT00000019377
ENSSSCG00000016912	PLPP1	ENSSSCT00000018418
ENSSSCG00000021297	ERMN	ENSSSCT00000029596
ENSSSCG00000006693	PDZK1	ENSSSCT00000007332
ENSSSCG00000029441	NAN	ENSSSCT00000019596
ENSSSCG00000024976	NAN	ENSSSCT00000023252
ENSSSCG00000027748	NAN	ENSSSCT00000026014
ENSSSCG00000028201	CWF19L2	ENSSSCT00000026318
ENSSSCG00000017025	GABRG2	ENSSSCT00000018537
ENSSSCG00000004412	MICAL1	ENSSSCT00000004875
ENSSSCG00000015601	NAN	ENSSSCT00000016994
ENSSSCG00000022727	NAN	ENSSSCT00000025378
ENSSSCG00000011148	NAN	ENSSSCT00000012200
ENSSSCG00000026814	NAN	ENSSSCT00000028567
ENSSSCG00000000081	ENTHD1	ENSSSCT00000000087
ENSSSCG00000001198	NAN	ENSSSCT00000001296
ENSSSCG00000025832	NAN	ENSSSCT00000019194
ENSSSCG00000023653	GLIS2	ENSSSCT00000024018
ENSSSCG00000030026	SORCS1	ENSSSCT00000034837,ENSSSCT00000033867,ENSSSCT00000034580,ENSSSCT00000032873,ENSSSCT00000035864,ENSSSCT00000034800,ENSSSCT00000023211,ENSSSCT00000011615,ENSSSCT00000028761,ENSSSCT00000026529
ENSSSCG00000022932	SNW1	ENSSSCT00000025189
ENSSSCG00000001473	COL11A2	ENSSSCT00000036382,ENSSSCT00000036253,ENSSSCT00000001640,ENSSSCT00000036285
ENSSSCG00000021663	NAN	ENSSSCT00000025870
ENSSSCG00000000034	NAN	ENSSSCT00000000036
ENSSSCG00000015626	VWC2	ENSSSCT00000017020
ENSSSCG00000006832	PSRC1	ENSSSCT00000007483
ENSSSCG00000026126	NAN	ENSSSCT00000027868
ENSSSCG00000006875	PLPPR4	ENSSSCT00000007529
ENSSSCG00000004607	PYGO1	ENSSSCT00000005088
ENSSSCG00000025711	NAN	ENSSSCT00000024297
ENSSSCG00000026282	NAN	ENSSSCT00000022449
ENSSSCG00000016432	PRKAG2	ENSSSCT00000017893
ENSSSCG00000023133	OSBPL6	ENSSSCT00000027373
ENSSSCG00000003650	GJA9	ENSSSCT00000004046
ENSSSCG00000011111	NAN	ENSSSCT00000012160
ENSSSCG00000022068	GNG8	ENSSSCT00000031663
ENSSSCG00000023487	MSLNL	ENSSSCT00000023757
ENSSSCG00000027368	NAN	ENSSSCT00000014154
ENSSSCG00000013691	NAN	ENSSSCT00000014956
ENSSSCG00000028257	NAN	ENSSSCT00000023356
ENSSSCG00000010214	CDK1	ENSSSCT00000011180
ENSSSCG00000009196	ATOH1	ENSSSCT00000010069
ENSSSCG00000011224	GADL1	ENSSSCT00000012291
ENSSSCG00000004636	TRPM7	ENSSSCT00000005121
ENSSSCG00000005678	NTMT1	ENSSSCT00000006243
ENSSSCG00000027036	NAN	ENSSSCT00000028873
ENSSSCG00000011411	TMEM115	ENSSSCT00000012491
ENSSSCG00000014168	ELL2	ENSSSCT00000015477
ENSSSCG00000027051	EMC7	ENSSSCT00000025486
ENSSSCG00000029405	NAN	ENSSSCT00000023286
ENSSSCG00000002812	KIFC3	ENSSSCT00000003112
ENSSSCG00000004392	AMD1	ENSSSCT00000004855
ENSSSCG00000024411	SMG8	ENSSSCT00000024400
ENSSSCG00000008128	DUSP2	ENSSSCT00000008904
ENSSSCG00000005735	NAN	ENSSSCT00000006306
ENSSSCG00000004584	GCNT3	ENSSSCT00000005063
ENSSSCG00000026525	NAN	ENSSSCT00000030724
ENSSSCG00000026139	TIFA	ENSSSCT00000024436
ENSSSCG00000014452	NAN	ENSSSCT00000015800
ENSSSCG00000016896	HSPB3	ENSSSCT00000018401
ENSSSCG00000011197	OXNAD1	ENSSSCT00000012262
ENSSSCG00000022857	TFF3	ENSSSCT00000025513
ENSSSCG00000020665	TAF6L	ENSSSCT00000022269
ENSSSCG00000024789	SRRT	ENSSSCT00000024767
ENSSSCG00000006969	KIAA1456	ENSSSCT00000007634
ENSSSCG00000026954	NAN	ENSSSCT00000029355,ENSSSCT00000025034
ENSSSCG00000030084	NAN	ENSSSCT00000026856
ENSSSCG00000012345	PFKFB1	ENSSSCT00000033428,ENSSSCT00000013499,ENSSSCT00000033201,ENSSSCT00000035988,ENSSSCT00000034751,ENSSSCT00000034212
ENSSSCG00000025522	NAN	ENSSSCT00000030674,ENSSSCT00000024590
ENSSSCG00000010536	CNNM1	ENSSSCT00000011526
ENSSSCG00000000236	KRT75	ENSSSCT00000000255
ENSSSCG00000006349	NAN	ENSSSCT00000006957
ENSSSCG00000017239	RPL38	ENSSSCT00000018768
ENSSSCG00000010383	WDFY4	ENSSSCT00000011366,ENSSSCT00000026607,ENSSSCT00000032344
ENSSSCG00000001427	C4A	ENSSSCT00000001570
ENSSSCG00000023584	NAN	ENSSSCT00000022370
ENSSSCG00000003542	NAN	ENSSSCT00000003934
ENSSSCG00000004306	ORC3	ENSSSCT00000004761
ENSSSCG00000023727	TRIM37	ENSSSCT00000024586,ENSSSCT00000033129,ENSSSCT00000033741
ENSSSCG00000027141	NAN	ENSSSCT00000032075
ENSSSCG00000029650	AGR3	ENSSSCT00000030981
ENSSSCG00000014704	NAN	ENSSSCT00000016055
ENSSSCG00000025758	NAN	ENSSSCT00000027609
ENSSSCG00000003325	NAN	ENSSSCT00000003691,ENSSSCT00000024192
ENSSSCG00000013322	IMMP1L	ENSSSCT00000014548
ENSSSCG00000022827	KDM5B	ENSSSCT00000029047
ENSSSCG00000029551	NAN	ENSSSCT00000022937
ENSSSCG00000003662	NT5C1A	ENSSSCT00000004058
ENSSSCG00000003473	RSG1	ENSSSCT00000003859
ENSSSCG00000026177	SLC25A40	ENSSSCT00000028088
ENSSSCG00000017822	NAN	ENSSSCT00000029329,ENSSSCT00000019397
ENSSSCG00000016073	NAN	ENSSSCT00000023196,ENSSSCT00000017500
ENSSSCG00000006480	APOA1BP	ENSSSCT00000007098
ENSSSCG00000014907	CREBZF	ENSSSCT00000016263
ENSSSCG00000003914	PRDX1	ENSSSCT00000004329
ENSSSCG00000020927	SLC2A2	ENSSSCT00000027703
ENSSSCG00000020984	LXN	ENSSSCT00000025922
ENSSSCG00000012166	SMS	ENSSSCT00000013307,ENSSSCT00000035605,ENSSSCT00000035032,ENSSSCT00000033895,ENSSSCT00000034188,ENSSSCT00000035646
ENSSSCG00000013828	OR1I1	ENSSSCT00000015106
ENSSSCG00000006538	FLAD1	ENSSSCT00000007160
ENSSSCG00000000353	NAN	ENSSSCT00000000375
ENSSSCG00000010075	VPREB3	ENSSSCT00000011036
ENSSSCG00000017450	KRTAP3-1	ENSSSCT00000018996
ENSSSCG00000005596	ARPC5L	ENSSSCT00000006154
ENSSSCG00000001245	ZNRD1	ENSSSCT00000034579,ENSSSCT00000001359,ENSSSCT00000035779
ENSSSCG00000027570	NAN	ENSSSCT00000004381
ENSSSCG00000027197	DYRK1B	ENSSSCT00000024419
ENSSSCG00000016206	CNPPD1	ENSSSCT00000017647
ENSSSCG00000009359	SUPT20H	ENSSSCT00000010256
ENSSSCG00000024210	NAN	ENSSSCT00000029885
ENSSSCG00000010927	NAN	ENSSSCT00000011959
ENSSSCG00000025886	NAN	ENSSSCT00000025403
ENSSSCG00000001147	NAN	ENSSSCT00000001243
ENSSSCG00000016399	STAM2	ENSSSCT00000017856
ENSSSCG00000011449	GNL3	ENSSSCT00000012529
ENSSSCG00000028166	ODF4	ENSSSCT00000024183
ENSSSCG00000014634	C11orf42	ENSSSCT00000015985
ENSSSCG00000006627	ZNF687	ENSSSCT00000007261
ENSSSCG00000029235	CU468857.5	ENSSSCT00000028467
ENSSSCG00000022896	NAN	ENSSSCT00000026171
ENSSSCG00000028523	HUS1	ENSSSCT00000026546
ENSSSCG00000023414	NAN	ENSSSCT00000027564
ENSSSCG00000026239	VPS35	ENSSSCT00000023228
ENSSSCG00000000258	RARG	ENSSSCT00000000277
ENSSSCG00000000285	HOXC4	ENSSSCT00000000306
ENSSSCG00000006908	NAN	ENSSSCT00000007565
ENSSSCG00000000388	NAN	ENSSSCT00000000416
ENSSSCG00000014535	NAN	ENSSSCT00000015885
ENSSSCG00000017190	EXOC7	ENSSSCT00000018715
ENSSSCG00000003492	PQLC2	ENSSSCT00000003879
ENSSSCG00000013667	COL5A3	ENSSSCT00000014931
ENSSSCG00000000648	CLEC7A	ENSSSCT00000000701,ENSSSCT00000033700,ENSSSCT00000000699,ENSSSCT00000000700,ENSSSCT00000033773
ENSSSCG00000003402	PGD	ENSSSCT00000003774
ENSSSCG00000008144	NCK2	ENSSSCT00000008921
ENSSSCG00000000016	NAN	ENSSSCT00000027756,ENSSSCT00000000017
ENSSSCG00000005591	ADGRD2	ENSSSCT00000006147,ENSSSCT00000031320
ENSSSCG00000007608	NAN	ENSSSCT00000008348
ENSSSCG00000023929	TXNRD3	ENSSSCT00000027349
ENSSSCG00000010258	AIFM2	ENSSSCT00000011228
ENSSSCG00000017314	SPPL2C	ENSSSCT00000018850
ENSSSCG00000021959	NAN	ENSSSCT00000023587
ENSSSCG00000009672	SCARA5	ENSSSCT00000010605
ENSSSCG00000028906	NAN	ENSSSCT00000022946
ENSSSCG00000010224	EGR2	ENSSSCT00000011190
ENSSSCG00000010783	NAN	ENSSSCT00000011798
ENSSSCG00000002191	NAN	ENSSSCT00000002446
ENSSSCG00000018086	ND4L	ENSSSCT00000019681
ENSSSCG00000010435	MINPP1	ENSSSCT00000011420
ENSSSCG00000027095	NAN	ENSSSCT00000030414
ENSSSCG00000011568	GHRL	ENSSSCT00000012660
ENSSSCG00000029941	NAN	ENSSSCT00000017102
ENSSSCG00000009001	NAN	ENSSSCT00000009858
ENSSSCG00000001786	CFAP161	ENSSSCT00000002001
ENSSSCG00000025475	NPR3	ENSSSCT00000026895
ENSSSCG00000020790	MYEOV2	ENSSSCT00000022688
ENSSSCG00000029070	NAN	ENSSSCT00000003359
ENSSSCG00000007247	KIF3B	ENSSSCT00000007929
ENSSSCG00000009029	ARHGAP10	ENSSSCT00000009888
ENSSSCG00000000652	CLEC12A	ENSSSCT00000035148,ENSSSCT00000000707,ENSSSCT00000035350
ENSSSCG00000018014	ZNF18	ENSSSCT00000019609
ENSSSCG00000013471	ZNF77	ENSSSCT00000014716,ENSSSCT00000025537
ENSSSCG00000028041	CRTC3	ENSSSCT00000024481,ENSSSCT00000029592
ENSSSCG00000024378	NAN	ENSSSCT00000032577
ENSSSCG00000000820	H1FNT	ENSSSCT00000000893
ENSSSCG00000025303	FAM50A	ENSSSCT00000028600,ENSSSCT00000030306
ENSSSCG00000002917	NFKBID	ENSSSCT00000003222,ENSSSCT00000035617,ENSSSCT00000035312
ENSSSCG00000016351	NAN	ENSSSCT00000017806
ENSSSCG00000022590	GPRC5C	ENSSSCT00000022977
ENSSSCG00000023986	NAN	ENSSSCT00000011397
ENSSSCG00000028421	NAN	ENSSSCT00000022994
ENSSSCG00000030081	NAN	ENSSSCT00000026694
ENSSSCG00000002408	ADCK1	ENSSSCT00000002677
ENSSSCG00000023846	BRF1	ENSSSCT00000031183
ENSSSCG00000028105	NAN	ENSSSCT00000024605
ENSSSCG00000024955	NAN	ENSSSCT00000023966
ENSSSCG00000008511	NAN	ENSSSCT00000009314
ENSSSCG00000021720	NAN	ENSSSCT00000031908
ENSSSCG00000023437	NAN	ENSSSCT00000030746
ENSSSCG00000021199	NAN	ENSSSCT00000029294
ENSSSCG00000017883	GGT6	ENSSSCT00000019460
ENSSSCG00000003061	CADM4	ENSSSCT00000003398
ENSSSCG00000011532	SUMF1	ENSSSCT00000012622
ENSSSCG00000029269	NAN	ENSSSCT00000029655
ENSSSCG00000023462	GPR50	ENSSSCT00000035039,ENSSSCT00000029931,ENSSSCT00000034570
ENSSSCG00000011166	ZMYND11	ENSSSCT00000012228
ENSSSCG00000026602	PTGIR	ENSSSCT00000026559
ENSSSCG00000012920	CORO1B	ENSSSCT00000014123
ENSSSCG00000003362	CEP104	ENSSSCT00000003731
ENSSSCG00000014988	MMP13	ENSSSCT00000016351
ENSSSCG00000009697	ADAM29	ENSSSCT00000010632
ENSSSCG00000016489	WEE2	ENSSSCT00000017953
ENSSSCG00000001214	GPX5	ENSSSCT00000001312
ENSSSCG00000004764	GCHFR	ENSSSCT00000005263
ENSSSCG00000029860	EPB41L4A	ENSSSCT00000025962
ENSSSCG00000006719	HSD3B1	ENSSSCT00000007360,ENSSSCT00000036672,ENSSSCT00000033231,ENSSSCT00000036493
ENSSSCG00000003101	HIF3A	ENSSSCT00000003440
ENSSSCG00000016933	ELOVL7	ENSSSCT00000018441,ENSSSCT00000018440
ENSSSCG00000017310	KANSL1	ENSSSCT00000018846
ENSSSCG00000014037	TMED9	ENSSSCT00000015333
ENSSSCG00000007003	HGSNAT	ENSSSCT00000007671
ENSSSCG00000024268	PRSS46	ENSSSCT00000030287
ENSSSCG00000015593	NSL1	ENSSSCT00000016986
ENSSSCG00000015619	CAMK1G	ENSSSCT00000017013
ENSSSCG00000007267	ACTL10	ENSSSCT00000007952
ENSSSCG00000026632	NAN	ENSSSCT00000026415
ENSSSCG00000004670	C15orf48	ENSSSCT00000005156
ENSSSCG00000007456	NAN	ENSSSCT00000008160
ENSSSCG00000023382	NAN	ENSSSCT00000031139
ENSSSCG00000021109	NAN	ENSSSCT00000026667
ENSSSCG00000009347	KL	ENSSSCT00000010244
ENSSSCG00000011639	SRPRB	ENSSSCT00000012739
ENSSSCG00000004626	TMOD3	ENSSSCT00000005109
ENSSSCG00000017738	ADAP2	ENSSSCT00000019305
ENSSSCG00000023267	SCN1B	ENSSSCT00000026468
ENSSSCG00000001095	GMNN	ENSSSCT00000001191
ENSSSCG00000024986	NAN	ENSSSCT00000029318
ENSSSCG00000024958	GPR173	ENSSSCT00000033938,ENSSSCT00000033977,ENSSSCT00000026665
ENSSSCG00000025241	LZIC	ENSSSCT00000028849
ENSSSCG00000017197	NAN	ENSSSCT00000018722
ENSSSCG00000030839	JUN	ENSSSCT00000036290
ENSSSCG00000010461	ANKRD1	ENSSSCT00000011447
ENSSSCG00000008409	NAN	ENSSSCT00000009207
ENSSSCG00000025120	BORA	ENSSSCT00000029882
ENSSSCG00000028871	NAN	ENSSSCT00000025970
ENSSSCG00000027905	NAN	ENSSSCT00000032163
ENSSSCG00000012594	IL13RA2	ENSSSCT00000033614,ENSSSCT00000013773,ENSSSCT00000035759,ENSSSCT00000035563
ENSSSCG00000023573	NAN	ENSSSCT00000025198
ENSSSCG00000007074	NAN	ENSSSCT00000007745
ENSSSCG00000011687	C3orf58	ENSSSCT00000012795
ENSSSCG00000021942	CT83	ENSSSCT00000034732,ENSSSCT00000028789
ENSSSCG00000024377	NAN	ENSSSCT00000026351
ENSSSCG00000013273	CHST1	ENSSSCT00000014497
ENSSSCG00000000215	SMARCD1	ENSSSCT00000000230
ENSSSCG00000015329	PPP1R9A	ENSSSCT00000016702
ENSSSCG00000029570	NAN	ENSSSCT00000022979
ENSSSCG00000026220	CCDC8	ENSSSCT00000023153
ENSSSCG00000011471	FLNB	ENSSSCT00000012553
ENSSSCG00000007034	NAN	ENSSSCT00000007703
ENSSSCG00000011321	NAN	ENSSSCT00000012396
ENSSSCG00000030296	NAN	ENSSSCT00000030989
ENSSSCG00000006267	PCMTD1	ENSSSCT00000006866
ENSSSCG00000025353	TNNT1	ENSSSCT00000023274,ENSSSCT00000026662
ENSSSCG00000004521	MRO	ENSSSCT00000004993
ENSSSCG00000000910	SOCS2	ENSSSCT00000000994
ENSSSCG00000027090	NAN	ENSSSCT00000023116
ENSSSCG00000027282	NAN	ENSSSCT00000031800
ENSSSCG00000015379	DNAH11	ENSSSCT00000016754
ENSSSCG00000007975	HBZ	ENSSSCT00000008738
ENSSSCG00000002800	NAN	ENSSSCT00000003100
ENSSSCG00000022396	BLZF1	ENSSSCT00000030933
ENSSSCG00000006329	LMX1A	ENSSSCT00000032564,ENSSSCT00000006937
ENSSSCG00000002764	SMPD3	ENSSSCT00000003062
ENSSSCG00000023703	NAN	ENSSSCT00000028079
ENSSSCG00000021869	TFF1	ENSSSCT00000028608
ENSSSCG00000012532	TCEAL1	ENSSSCT00000035753,ENSSSCT00000035058,ENSSSCT00000036371,ENSSSCT00000013701
ENSSSCG00000015234	KIRREL3	ENSSSCT00000016600
ENSSSCG00000021018	NAN	ENSSSCT00000029526
ENSSSCG00000015154	NAN	ENSSSCT00000029884,ENSSSCT00000016520
ENSSSCG00000005530	LHX6	ENSSSCT00000006081
ENSSSCG00000030097	NAN	ENSSSCT00000026776
ENSSSCG00000027181	NAN	ENSSSCT00000031668
ENSSSCG00000016509	NAN	ENSSSCT00000017974
ENSSSCG00000009216	SPP1	ENSSSCT00000010091
ENSSSCG00000020663	NAN	ENSSSCT00000025866
ENSSSCG00000017296	ACE	ENSSSCT00000033409,ENSSSCT00000034527,ENSSSCT00000036010,ENSSSCT00000018828,ENSSSCT00000018829,ENSSSCT00000035093,ENSSSCT00000033925
ENSSSCG00000024000	NAN	ENSSSCT00000028006
ENSSSCG00000005378	ANKS6	ENSSSCT00000005918,ENSSSCT00000027353
ENSSSCG00000027687	NAN	ENSSSCT00000024710
ENSSSCG00000025166	NAN	ENSSSCT00000031306
ENSSSCG00000017873	CAMKK1	ENSSSCT00000019449
ENSSSCG00000010203	HNRNPF	ENSSSCT00000011169
ENSSSCG00000010073	CHCHD10	ENSSSCT00000011034
ENSSSCG00000012685	FAM122B	ENSSSCT00000033357,ENSSSCT00000032765,ENSSSCT00000031319,ENSSSCT00000013867
ENSSSCG00000010295	ECD	ENSSSCT00000011268
ENSSSCG00000014710	NAN	ENSSSCT00000016061
ENSSSCG00000014728	NAN	ENSSSCT00000016079
ENSSSCG00000024471	NAN	ENSSSCT00000026134
ENSSSCG00000020811	NAN	ENSSSCT00000023095
ENSSSCG00000007538	GATA5	ENSSSCT00000008270
ENSSSCG00000003630	AGO1	ENSSSCT00000004026
ENSSSCG00000015373	TMEM196	ENSSSCT00000016748
ENSSSCG00000014192	NAN	ENSSSCT00000015506
ENSSSCG00000001421	ZBTB12	ENSSSCT00000001561,ENSSSCT00000034381
ENSSSCG00000024451	NAN	ENSSSCT00000026114
ENSSSCG00000023052	NAN	ENSSSCT00000025549
ENSSSCG00000023276	ZNF24	ENSSSCT00000027716
ENSSSCG00000015741	CFAP221	ENSSSCT00000017141
ENSSSCG00000003055	XRCC1	ENSSSCT00000003392
ENSSSCG00000010591	CYP17A1	ENSSSCT00000011585
ENSSSCG00000003347	MRPL20	ENSSSCT00000003716
ENSSSCG00000022060	RASSF10	ENSSSCT00000025981
ENSSSCG00000006758	SYT6	ENSSSCT00000007403
ENSSSCG00000023454	NAN	ENSSSCT00000031707
ENSSSCG00000016759	HECW1	ENSSSCT00000018242
ENSSSCG00000026149	NAN	ENSSSCT00000031891
ENSSSCG00000026513	NAN	ENSSSCT00000028417
ENSSSCG00000023416	NAN	ENSSSCT00000025030
ENSSSCG00000000050	NAN	ENSSSCT00000000055
ENSSSCG00000003626	NAN	ENSSSCT00000004022
ENSSSCG00000000727	CCND2	ENSSSCT00000000790
ENSSSCG00000012841	PNPLA2	ENSSSCT00000014036
ENSSSCG00000008061	TCEB2	ENSSSCT00000008834
