ENSOCUG00000017200	PDZD4	ENSOCUT00000017201
ENSOCUG00000028991	NAN	ENSOCUT00000033063
ENSOCUG00000025773	NAN	ENSOCUT00000021445
ENSOCUG00000003015	IMPDH1	ENSOCUT00000033580,ENSOCUT00000003015
ENSOCUG00000016288	HSP90B1	ENSOCUT00000016294
ENSOCUG00000002692	GRIK4	ENSOCUT00000002693
ENSOCUG00000002449	LAMTOR5	ENSOCUT00000002446
ENSOCUG00000006076	C9orf40	ENSOCUT00000006073
ENSOCUG00000011144	USPL1	ENSOCUT00000011144
ENSOCUG00000015010	GML	ENSOCUT00000015005
ENSOCUG00000002210	NAN	ENSOCUT00000002210
ENSOCUG00000016400	NAN	ENSOCUT00000016394
ENSOCUG00000009948	TMEM159	ENSOCUT00000009947
ENSOCUG00000014285	SPAG16	ENSOCUT00000014290
ENSOCUG00000001662	SLC7A11	ENSOCUT00000001660
ENSOCUG00000010839	ATG4A	ENSOCUT00000010840
ENSOCUG00000002057	AHSG	ENSOCUT00000002057,ENSOCUT00000033474
ENSOCUG00000026777	NAN	ENSOCUT00000031999
ENSOCUG00000022909	LEMD2	ENSOCUT00000022756
ENSOCUG00000021043	NAN	ENSOCUT00000024293
ENSOCUG00000024202	NAN	ENSOCUT00000027767
ENSOCUG00000006809	MGAT4D	ENSOCUT00000006807
ENSOCUG00000024652	THAP5	ENSOCUT00000025109
ENSOCUG00000010945	ISCA1	ENSOCUT00000010945
ENSOCUG00000026053	MYCN	ENSOCUT00000031304
ENSOCUG00000011943	IL4	ENSOCUT00000024099
ENSOCUG00000024238	NAN	ENSOCUT00000023153
ENSOCUG00000000953	RMI2	ENSOCUT00000000953
ENSOCUG00000005038	NAN	ENSOCUT00000005037
ENSOCUG00000012089	C7orf25	ENSOCUT00000012086
ENSOCUG00000002899	TSSK4	ENSOCUT00000002899
ENSOCUG00000012033	NAN	ENSOCUT00000012034
ENSOCUG00000005282	ZMAT5	ENSOCUT00000005282
ENSOCUG00000025053	NAN	ENSOCUT00000031336
ENSOCUG00000024937	IFNG	ENSOCUT00000030109
ENSOCUG00000005560	GNAT2	ENSOCUT00000005557
ENSOCUG00000009436	CNGA2	ENSOCUT00000009433
ENSOCUG00000025950	ORYCUNV1R1628	ENSOCUT00000024551
ENSOCUG00000004270	IL17A	ENSOCUT00000004268
ENSOCUG00000004420	NAN	ENSOCUT00000004420
ENSOCUG00000029431	ACSF3	ENSOCUT00000033975
ENSOCUG00000027474	TFEB	ENSOCUT00000029132
ENSOCUG00000001986	PLCD4	ENSOCUT00000001990
ENSOCUG00000024391	NAN	ENSOCUT00000026818
ENSOCUG00000022075	TTC23L	ENSOCUT00000030974
ENSOCUG00000011578	BMP2K	ENSOCUT00000011581
ENSOCUG00000024721	NAN	ENSOCUT00000031406
ENSOCUG00000016961	NAN	ENSOCUT00000016962
ENSOCUG00000026635	LHB	ENSOCUT00000022613
ENSOCUG00000022124	NAN	ENSOCUT00000027313
ENSOCUG00000004807	UCKL1	ENSOCUT00000004807
ENSOCUG00000000590	RDH11	ENSOCUT00000000589
ENSOCUG00000025719	NAN	ENSOCUT00000033150,ENSOCUT00000026497
ENSOCUG00000002060	PTP4A2	ENSOCUT00000002058
ENSOCUG00000009178	NAN	ENSOCUT00000009181
ENSOCUG00000023607	NAN	ENSOCUT00000028022
ENSOCUG00000022533	VPS28	ENSOCUT00000026281
ENSOCUG00000009100	ANKRD23	ENSOCUT00000009100
ENSOCUG00000029311	NAN	ENSOCUT00000025709
ENSOCUG00000022057	MSL1	ENSOCUT00000017459
ENSOCUG00000015111	GRIN2B	ENSOCUT00000015113
ENSOCUG00000016202	RECQL5	ENSOCUT00000024739
ENSOCUG00000002828	IGFBP4	ENSOCUT00000002825
ENSOCUG00000029303	RAP1A	ENSOCUT00000033394
ENSOCUG00000024794	NAN	ENSOCUT00000022709
ENSOCUG00000011027	CHIT1	ENSOCUT00000011025
ENSOCUG00000026827	NAN	ENSOCUT00000030243
ENSOCUG00000023780	NAN	ENSOCUT00000032105
ENSOCUG00000012931	DGAT1	ENSOCUT00000012931
ENSOCUG00000009966	MARVELD3	ENSOCUT00000009966
ENSOCUG00000021110	UBE3D	ENSOCUT00000030132
ENSOCUG00000011307	GALNTL5	ENSOCUT00000011309
ENSOCUG00000027897	NAN	ENSOCUT00000030804
ENSOCUG00000006978	DVL2	ENSOCUT00000028129,ENSOCUT00000006980
ENSOCUG00000010382	WSB2	ENSOCUT00000021634
ENSOCUG00000017033	TFRC	ENSOCUT00000017039
ENSOCUG00000016010	LMBRD1	ENSOCUT00000016013
ENSOCUG00000013173	RHEB	ENSOCUT00000013171
ENSOCUG00000004329	NAN	ENSOCUT00000004329
ENSOCUG00000002824	PITPNM3	ENSOCUT00000002826
ENSOCUG00000003453	TMED2	ENSOCUT00000003452
ENSOCUG00000003284	CLDN12	ENSOCUT00000003279
ENSOCUG00000002000	SGCD	ENSOCUT00000001999
ENSOCUG00000026222	NAN	ENSOCUT00000027202
ENSOCUG00000005885	IGSF10	ENSOCUT00000005885
ENSOCUG00000006081	OR9Q2	ENSOCUT00000006080
ENSOCUG00000023721	NAN	ENSOCUT00000007749
ENSOCUG00000017594	GPC2	ENSOCUT00000017592
ENSOCUG00000002694	KPNA1	ENSOCUT00000002691
ENSOCUG00000000147	NAN	ENSOCUT00000000146
ENSOCUG00000008833	AQP4	ENSOCUT00000008832
ENSOCUG00000015188	NAN	ENSOCUT00000015186
ENSOCUG00000012342	CDC25A	ENSOCUT00000012339
ENSOCUG00000021341	NAN	ENSOCUT00000023960
ENSOCUG00000015347	TMEM108	ENSOCUT00000015350
ENSOCUG00000000659	NGF	ENSOCUT00000026547
ENSOCUG00000000388	LYPLAL1	ENSOCUT00000000388
ENSOCUG00000005977	FAM185A	ENSOCUT00000005977
ENSOCUG00000009562	NAN	ENSOCUT00000009560
ENSOCUG00000005088	SERPINB1	ENSOCUT00000005087
ENSOCUG00000015020	COL5A2	ENSOCUT00000015033
ENSOCUG00000029384	NAN	ENSOCUT00000033572
ENSOCUG00000005540	CAPN6	ENSOCUT00000023132
ENSOCUG00000008227	MOB1A	ENSOCUT00000008226
ENSOCUG00000024057	SLC25A4	ENSOCUT00000014987
ENSOCUG00000005150	NAN	ENSOCUT00000005150
ENSOCUG00000013953	RPS6KC1	ENSOCUT00000013957
ENSOCUG00000009976	HTR2A	ENSOCUT00000009972
ENSOCUG00000004306	FAN1	ENSOCUT00000004306
ENSOCUG00000011782	MIPEP	ENSOCUT00000021653
ENSOCUG00000014232	CLINT1	ENSOCUT00000025377
ENSOCUG00000024444	CRHR2	ENSOCUT00000021258
ENSOCUG00000029647	NAN	ENSOCUT00000033876
ENSOCUG00000013973	NGDN	ENSOCUT00000013972
ENSOCUG00000000219	ZIC2	ENSOCUT00000027507
ENSOCUG00000015227	ADAMTS17	ENSOCUT00000015229
ENSOCUG00000011932	SEL1L	ENSOCUT00000011935
ENSOCUG00000000998	CDK2	ENSOCUT00000020918
ENSOCUG00000008001	SLC38A5	ENSOCUT00000008002
ENSOCUG00000004757	ZNF35	ENSOCUT00000004755
ENSOCUG00000029732	NAN	ENSOCUT00000033214
ENSOCUG00000013012	DYNLT1	ENSOCUT00000013004
ENSOCUG00000005157	CYLC1	ENSOCUT00000005157,ENSOCUT00000033555
ENSOCUG00000002631	MSANTD2	ENSOCUT00000029376,ENSOCUT00000002631
ENSOCUG00000006173	NAN	ENSOCUT00000006171
ENSOCUG00000006945	KRT8	ENSOCUT00000006945
ENSOCUG00000012030	DGCR2	ENSOCUT00000012030
ENSOCUG00000008126	LDLRAD1	ENSOCUT00000008125
ENSOCUG00000023074	DDX28	ENSOCUT00000024165
ENSOCUG00000016598	PROCR	ENSOCUT00000016596
ENSOCUG00000022795	TSGA10IP	ENSOCUT00000029310
ENSOCUG00000014442	HIST1H1E	ENSOCUT00000014437
ENSOCUG00000003496	FAM193B	ENSOCUT00000003494,ENSOCUT00000024433
ENSOCUG00000013355	CCDC134	ENSOCUT00000013353
ENSOCUG00000017282	LMTK2	ENSOCUT00000017289
ENSOCUG00000012200	RAB5A	ENSOCUT00000012200
ENSOCUG00000013662	ACADM	ENSOCUT00000033248,ENSOCUT00000013669
ENSOCUG00000011044	TRAPPC3	ENSOCUT00000011041
ENSOCUG00000016583	CDK13	ENSOCUT00000016587
ENSOCUG00000012719	HSPA12B	ENSOCUT00000012719
ENSOCUG00000014719	PGD	ENSOCUT00000014717
ENSOCUG00000010024	PLPP3	ENSOCUT00000010023
ENSOCUG00000005911	COMMD10	ENSOCUT00000005909
ENSOCUG00000015046	LRPPRC	ENSOCUT00000015057
ENSOCUG00000025352	NAN	ENSOCUT00000025287
ENSOCUG00000025710	PLD3	ENSOCUT00000022254
ENSOCUG00000003830	NAN	ENSOCUT00000003828
ENSOCUG00000008350	ZMYM1	ENSOCUT00000008350
ENSOCUG00000013278	DHX58	ENSOCUT00000013276
ENSOCUG00000023398	NAPSA	ENSOCUT00000023413
ENSOCUG00000027776	NAN	ENSOCUT00000025829
ENSOCUG00000009474	NAN	ENSOCUT00000009474
ENSOCUG00000016660	SFRP2	ENSOCUT00000016658
ENSOCUG00000016375	SERP2	ENSOCUT00000016373,ENSOCUT00000027065
ENSOCUG00000002325	ZNF609	ENSOCUT00000002324
ENSOCUG00000010733	CFTR	ENSOCUT00000010738
ENSOCUG00000029252	NAN	ENSOCUT00000033801
ENSOCUG00000003429	PPP1R7	ENSOCUT00000025999
ENSOCUG00000009549	NAN	ENSOCUT00000009546
ENSOCUG00000013609	LBP	ENSOCUT00000013610
ENSOCUG00000013019	TJP2	ENSOCUT00000013023
ENSOCUG00000010967	NAN	ENSOCUT00000010962
ENSOCUG00000022233	NAN	ENSOCUT00000025127
ENSOCUG00000013731	RUNX1	ENSOCUT00000013730
ENSOCUG00000000021	DNM1L	ENSOCUT00000000020
ENSOCUG00000021130	NAN	ENSOCUT00000006082
ENSOCUG00000008928	SMU1	ENSOCUT00000008928
ENSOCUG00000010469	SLC22A23	ENSOCUT00000026365
ENSOCUG00000022025	SART1	ENSOCUT00000023596
ENSOCUG00000003317	ZNF215	ENSOCUT00000003318
ENSOCUG00000014299	TPP2	ENSOCUT00000014304
ENSOCUG00000020947	DOK2	ENSOCUT00000021084
ENSOCUG00000015149	TSPEAR	ENSOCUT00000015149
ENSOCUG00000024183	NAN	ENSOCUT00000026629
ENSOCUG00000023802	TRIM61	ENSOCUT00000031029
ENSOCUG00000009701	CSF3	ENSOCUT00000009700
ENSOCUG00000027478	NAN	ENSOCUT00000024973
ENSOCUG00000016518	KIAA1217	ENSOCUT00000016529
ENSOCUG00000010158	TESK1	ENSOCUT00000010158
ENSOCUG00000024734	RNF213	ENSOCUT00000023738
ENSOCUG00000015320	COL12A1	ENSOCUT00000015357
ENSOCUG00000003666	DGUOK	ENSOCUT00000003666
ENSOCUG00000015409	TCP11L1	ENSOCUT00000015406
ENSOCUG00000004645	DFNB31	ENSOCUT00000004647
ENSOCUG00000002509	RMND1	ENSOCUT00000002512
ENSOCUG00000027224	NAN	ENSOCUT00000030957
ENSOCUG00000016098	NAN	ENSOCUT00000022661
ENSOCUG00000000489	TTC13	ENSOCUT00000000490
ENSOCUG00000009239	NUDT1	ENSOCUT00000009236
ENSOCUG00000013504	C15orf39	ENSOCUT00000013499,ENSOCUT00000033479
ENSOCUG00000027090	NAN	ENSOCUT00000024792
ENSOCUG00000010554	NAN	ENSOCUT00000010556
ENSOCUG00000005452	CPA6	ENSOCUT00000005452
ENSOCUG00000021279	ZBTB7B	ENSOCUT00000022510
ENSOCUG00000011230	MMP16	ENSOCUT00000011228
ENSOCUG00000001638	HPSE2	ENSOCUT00000001638
ENSOCUG00000000145	NFIL3	ENSOCUT00000000144
ENSOCUG00000003930	CHRM5	ENSOCUT00000003928
ENSOCUG00000011167	BDP1	ENSOCUT00000011177
ENSOCUG00000023700	NAN	ENSOCUT00000030478
ENSOCUG00000027447	NAN	ENSOCUT00000025437
ENSOCUG00000029078	NAN	ENSOCUT00000032991
ENSOCUG00000023000	ARHGEF19	ENSOCUT00000025263
ENSOCUG00000004331	ZBTB33	ENSOCUT00000004328
ENSOCUG00000029745	NAN	ENSOCUT00000033685
ENSOCUG00000000611	FKBP10	ENSOCUT00000000612
ENSOCUG00000016103	HTR7	ENSOCUT00000016096
ENSOCUG00000008066	DHRS7C	ENSOCUT00000008064
ENSOCUG00000003602	ZDHHC6	ENSOCUT00000003600
ENSOCUG00000007578	OR10G3	ENSOCUT00000007576
ENSOCUG00000000570	APEX2	ENSOCUT00000029301
ENSOCUG00000026708	NAN	ENSOCUT00000030625
ENSOCUG00000025085	NAN	ENSOCUT00000030376
ENSOCUG00000014955	ANXA9	ENSOCUT00000014953
ENSOCUG00000024075	NAN	ENSOCUT00000022003
ENSOCUG00000021328	NAN	ENSOCUT00000025454
ENSOCUG00000010413	CCNB3	ENSOCUT00000010419
ENSOCUG00000016803	NAN	ENSOCUT00000016797
ENSOCUG00000014905	SLC10A6	ENSOCUT00000014904
ENSOCUG00000010947	C11orf68	ENSOCUT00000010944
ENSOCUG00000029602	NAN	ENSOCUT00000014561
ENSOCUG00000016322	IL12B	ENSOCUT00000016318
ENSOCUG00000005854	POLE3	ENSOCUT00000005852
ENSOCUG00000001158	ELL3	ENSOCUT00000001159
ENSOCUG00000026474	C17orf67	ENSOCUT00000031522
ENSOCUG00000007253	NAN	ENSOCUT00000007253
ENSOCUG00000021584	DOK3	ENSOCUT00000034062,ENSOCUT00000022109
ENSOCUG00000005389	MTF1	ENSOCUT00000005390
ENSOCUG00000005680	NAN	ENSOCUT00000005682
ENSOCUG00000005997	MEIOB	ENSOCUT00000005994
ENSOCUG00000029420	NAN	ENSOCUT00000033923
ENSOCUG00000024820	NAN	ENSOCUT00000027677
ENSOCUG00000001074	NAN	ENSOCUT00000001073
ENSOCUG00000024099	NAN	ENSOCUT00000028313
ENSOCUG00000004459	KCNA1	ENSOCUT00000004457
ENSOCUG00000026445	NAN	ENSOCUT00000026292
ENSOCUG00000001879	SPAG1	ENSOCUT00000001884
ENSOCUG00000009592	COL19A1	ENSOCUT00000009608
ENSOCUG00000000064	DNAJB6	ENSOCUT00000000064
ENSOCUG00000003773	DTNA	ENSOCUT00000003777
ENSOCUG00000026527	NAN	ENSOCUT00000026097
ENSOCUG00000029496	UNC93A	ENSOCUT00000033774
ENSOCUG00000017885	MUSK	ENSOCUT00000023328,ENSOCUT00000017884
ENSOCUG00000021057	NAN	ENSOCUT00000026262
ENSOCUG00000004205	PRSS35	ENSOCUT00000004206
ENSOCUG00000004294	NKX3-1	ENSOCUT00000004290
ENSOCUG00000029096	MT-CO1	ENSOCUT00000033121
ENSOCUG00000024015	RAD9A	ENSOCUT00000027984
ENSOCUG00000008457	NDUFAB1	ENSOCUT00000008456
ENSOCUG00000026402	NAN	ENSOCUT00000021176
ENSOCUG00000003020	FECH	ENSOCUT00000003019
ENSOCUG00000002727	XPO6	ENSOCUT00000002734
ENSOCUG00000002103	C2orf61	ENSOCUT00000031744
ENSOCUG00000025665	NAN	ENSOCUT00000026851
ENSOCUG00000003095	KIAA1524	ENSOCUT00000003097
ENSOCUG00000004786	PRDX4	ENSOCUT00000004784
ENSOCUG00000017162	NAN	ENSOCUT00000017165
ENSOCUG00000017421	KRT5	ENSOCUT00000017420
ENSOCUG00000015623	PLXNA3	ENSOCUT00000015643
ENSOCUG00000009024	MAP2K5	ENSOCUT00000009028
ENSOCUG00000007987	NISCH	ENSOCUT00000007988
ENSOCUG00000009420	NLN	ENSOCUT00000009418
ENSOCUG00000010033	TNIP2	ENSOCUT00000010031
ENSOCUG00000025051	NAN	ENSOCUT00000021683
ENSOCUG00000012276	CRYBA1	ENSOCUT00000033447,ENSOCUT00000012274
ENSOCUG00000025575	NAN	ENSOCUT00000025395,ENSOCUT00000028832
ENSOCUG00000015974	POP4	ENSOCUT00000015972
ENSOCUG00000027046	NAN	ENSOCUT00000022386
ENSOCUG00000021924	MX1	ENSOCUT00000022094
ENSOCUG00000026498	ZIC5	ENSOCUT00000023871,ENSOCUT00000022847
ENSOCUG00000027499	LRRFIP1	ENSOCUT00000026119
ENSOCUG00000008019	KIR6.1	ENSOCUT00000008014
ENSOCUG00000026591	ISPD	ENSOCUT00000033846,ENSOCUT00000031868
ENSOCUG00000023877	DDIT3	ENSOCUT00000024134
ENSOCUG00000013882	DCAF17	ENSOCUT00000013888
ENSOCUG00000005210	CNTD2	ENSOCUT00000005209
ENSOCUG00000024630	NAN	ENSOCUT00000025986
ENSOCUG00000003473	VIPR2	ENSOCUT00000003474
ENSOCUG00000011690	SLC25A28	ENSOCUT00000011686
ENSOCUG00000017638	GLRA3	ENSOCUT00000017638,ENSOCUT00000024641
ENSOCUG00000014986	ASH1L	ENSOCUT00000014991
ENSOCUG00000006834	NAN	ENSOCUT00000006834
ENSOCUG00000022362	LRRC8D	ENSOCUT00000029255
ENSOCUG00000010302	CCDC28A	ENSOCUT00000010300,ENSOCUT00000033939
ENSOCUG00000005780	HPN	ENSOCUT00000030064
ENSOCUG00000028063	NAN	ENSOCUT00000031956
ENSOCUG00000022092	NAN	ENSOCUT00000007665
ENSOCUG00000011638	RBM6	ENSOCUT00000011644
ENSOCUG00000015136	FAM129A	ENSOCUT00000015141
ENSOCUG00000005357	RHOJ	ENSOCUT00000005355
ENSOCUG00000024979	CST8	ENSOCUT00000029769
ENSOCUG00000024566	NAN	ENSOCUT00000030579
ENSOCUG00000002112	MYBPC3	ENSOCUT00000002117
ENSOCUG00000009553	IQUB	ENSOCUT00000009554
ENSOCUG00000016921	MSH3	ENSOCUT00000016927
ENSOCUG00000004130	COG4	ENSOCUT00000004132
ENSOCUG00000002084	UFL1	ENSOCUT00000002088
ENSOCUG00000022240	NAN	ENSOCUT00000022183
ENSOCUG00000002748	S100A13	ENSOCUT00000002748
ENSOCUG00000000628	MUL1	ENSOCUT00000000626
ENSOCUG00000016724	TEX26	ENSOCUT00000016721
ENSOCUG00000022986	CCDC163P	ENSOCUT00000031314
ENSOCUG00000011179	TNMD	ENSOCUT00000011178
ENSOCUG00000004603	RD3	ENSOCUT00000004599
ENSOCUG00000017378	KLHDC2	ENSOCUT00000017376
ENSOCUG00000008265	SNRK	ENSOCUT00000008265
ENSOCUG00000000277	MICU3	ENSOCUT00000000277
ENSOCUG00000010806	AP1S3	ENSOCUT00000010801
ENSOCUG00000015590	DLAT	ENSOCUT00000015592
ENSOCUG00000002952	NAN	ENSOCUT00000002952
ENSOCUG00000004305	FYCO1	ENSOCUT00000004308
ENSOCUG00000023162	NAN	ENSOCUT00000021774
ENSOCUG00000024496	ANP32E	ENSOCUT00000009316
ENSOCUG00000028108	UBD	ENSOCUT00000028242
ENSOCUG00000013156	DUSP19	ENSOCUT00000013151
ENSOCUG00000008682	ABCB8	ENSOCUT00000008684
ENSOCUG00000029706	NAN	ENSOCUT00000033666
ENSOCUG00000021802	HAS1	ENSOCUT00000029472
ENSOCUG00000023796	LTF	ENSOCUT00000029304
ENSOCUG00000029696	NAN	ENSOCUT00000033881
ENSOCUG00000024959	NAN	ENSOCUT00000000624
ENSOCUG00000000969	ZNF541	ENSOCUT00000000969
ENSOCUG00000027882	NAN	ENSOCUT00000028993
ENSOCUG00000017797	NAN	ENSOCUT00000017798
ENSOCUG00000004580	POLA2	ENSOCUT00000004584
ENSOCUG00000015906	NAN	ENSOCUT00000015902
ENSOCUG00000013308	THAP2	ENSOCUT00000013303
ENSOCUG00000008415	DNMT1	ENSOCUT00000008429
ENSOCUG00000016877	NAN	ENSOCUT00000016875
ENSOCUG00000005323	THRAP3	ENSOCUT00000005322
ENSOCUG00000001975	ERICH1	ENSOCUT00000001976
ENSOCUG00000009682	GSDMA	ENSOCUT00000009684
ENSOCUG00000000562	PABPC4	ENSOCUT00000000561
ENSOCUG00000025422	C12orf43	ENSOCUT00000024651
ENSOCUG00000017860	GOLGA7B	ENSOCUT00000023834
ENSOCUG00000028018	NAN	ENSOCUT00000022742
ENSOCUG00000004525	NDUFAF2	ENSOCUT00000004524
ENSOCUG00000015656	NAN	ENSOCUT00000033382,ENSOCUT00000015682
ENSOCUG00000015952	TIMP4	ENSOCUT00000015949
ENSOCUG00000001173	PPM1L	ENSOCUT00000001173
ENSOCUG00000008511	C19orf67	ENSOCUT00000026808,ENSOCUT00000008509
ENSOCUG00000007084	CHRD	ENSOCUT00000007091
ENSOCUG00000017841	OSBP2	ENSOCUT00000017844
ENSOCUG00000021382	ORYCUNV1R1535	ENSOCUT00000023332
ENSOCUG00000024582	NAN	ENSOCUT00000026833
ENSOCUG00000000208	CFAP65	ENSOCUT00000000209
ENSOCUG00000021244	NAN	ENSOCUT00000017593
ENSOCUG00000014502	MC2R	ENSOCUT00000014499
ENSOCUG00000007968	ZBTB18	ENSOCUT00000007961
ENSOCUG00000004245	NAN	ENSOCUT00000004247
ENSOCUG00000015158	COG6	ENSOCUT00000015172
ENSOCUG00000006617	NAN	ENSOCUT00000006615
ENSOCUG00000009249	HSPB11	ENSOCUT00000009248
ENSOCUG00000029291	NAN	ENSOCUT00000033426
ENSOCUG00000015828	MPZL3	ENSOCUT00000015825
ENSOCUG00000005128	PPP1R9A	ENSOCUT00000005129
ENSOCUG00000001175	HACD2	ENSOCUT00000001176
ENSOCUG00000000532	WLS	ENSOCUT00000000533
ENSOCUG00000010619	HMGXB4	ENSOCUT00000010617
ENSOCUG00000025615	CPLX2	ENSOCUT00000028637
ENSOCUG00000024933	NAN	ENSOCUT00000025863
ENSOCUG00000025532	NAN	ENSOCUT00000029324
ENSOCUG00000010467	FOXD4L1	ENSOCUT00000010463
ENSOCUG00000002913	BCORL1	ENSOCUT00000002915
ENSOCUG00000016154	KCTD20	ENSOCUT00000016153,ENSOCUT00000033175
ENSOCUG00000012893	GRPR	ENSOCUT00000012886
ENSOCUG00000001810	TPST2	ENSOCUT00000001808
ENSOCUG00000017274	CTLA4	ENSOCUT00000026874,ENSOCUT00000017271
ENSOCUG00000000255	ARHGEF6	ENSOCUT00000000255
ENSOCUG00000024104	NAN	ENSOCUT00000026395
ENSOCUG00000016089	EAF1	ENSOCUT00000016089
ENSOCUG00000016366	DNAJB9	ENSOCUT00000016365
ENSOCUG00000029735	NAN	ENSOCUT00000033631
ENSOCUG00000017645	GALNT13	ENSOCUT00000021873
ENSOCUG00000016039	ZNF396	ENSOCUT00000016034
ENSOCUG00000008945	NAN	ENSOCUT00000008944
ENSOCUG00000002477	GJD4	ENSOCUT00000002478
ENSOCUG00000016050	KIAA0922	ENSOCUT00000016064
ENSOCUG00000024786	NAN	ENSOCUT00000022266
ENSOCUG00000021409	NAN	ENSOCUT00000031152
ENSOCUG00000016703	TRERF1	ENSOCUT00000016708
ENSOCUG00000027764	NAN	ENSOCUT00000024923
ENSOCUG00000010414	ING1	ENSOCUT00000010411
ENSOCUG00000010587	APP	ENSOCUT00000010591
ENSOCUG00000004986	XPO1	ENSOCUT00000004989
ENSOCUG00000003392	NAN	ENSOCUT00000003391
ENSOCUG00000008730	LRRK1	ENSOCUT00000001007,ENSOCUT00000008732
ENSOCUG00000025031	DYX1C1	ENSOCUT00000025869
ENSOCUG00000003026	DHX15	ENSOCUT00000003028
ENSOCUG00000017859	RBM46	ENSOCUT00000017859
ENSOCUG00000010814	ME1	ENSOCUT00000010816
ENSOCUG00000026663	NPFF	ENSOCUT00000030445
ENSOCUG00000016207	NAN	ENSOCUT00000016202
ENSOCUG00000017235	OGFOD1	ENSOCUT00000017239
ENSOCUG00000027610	SOX11	ENSOCUT00000030500
ENSOCUG00000013397	RPL23A	ENSOCUT00000013394
ENSOCUG00000013879	CCDC85C	ENSOCUT00000013884
ENSOCUG00000029137	NAN	ENSOCUT00000033185
ENSOCUG00000021559	ACER3	ENSOCUT00000030526
ENSOCUG00000025467	NAN	ENSOCUT00000030767
ENSOCUG00000010214	KCNK7	ENSOCUT00000010216
ENSOCUG00000006090	NAN	ENSOCUT00000006090
ENSOCUG00000025605	NAN	ENSOCUT00000028776
ENSOCUG00000003387	KATNAL1	ENSOCUT00000003387
ENSOCUG00000025145	NAN	ENSOCUT00000001938
ENSOCUG00000012726	C20orf27	ENSOCUT00000012727
ENSOCUG00000027543	MAN2B2	ENSOCUT00000026209
ENSOCUG00000001944	NMBR	ENSOCUT00000001941
ENSOCUG00000004355	TOM1L2	ENSOCUT00000004357
ENSOCUG00000002110	GNL1	ENSOCUT00000031401
ENSOCUG00000021679	GATSL3	ENSOCUT00000028420
ENSOCUG00000026664	DPM2	ENSOCUT00000022412
ENSOCUG00000005007	KCNE5	ENSOCUT00000005004
ENSOCUG00000005938	GPX1	ENSOCUT00000005937
ENSOCUG00000012531	NEU3	ENSOCUT00000027526
ENSOCUG00000005433	TRIM66	ENSOCUT00000005436
ENSOCUG00000009863	PRKCQ	ENSOCUT00000009863
ENSOCUG00000014513	IL27RA	ENSOCUT00000014514
ENSOCUG00000002650	NLRP11	ENSOCUT00000002650
ENSOCUG00000016650	DEPDC1B	ENSOCUT00000016656
ENSOCUG00000017572	PPP2R5A	ENSOCUT00000033322,ENSOCUT00000017573
ENSOCUG00000011238	SIK3	ENSOCUT00000011245
ENSOCUG00000016354	IL6R	ENSOCUT00000016356
ENSOCUG00000015569	ANKS1A	ENSOCUT00000027232
ENSOCUG00000010152	SCNN1A	ENSOCUT00000026460
ENSOCUG00000007604	AMER2	ENSOCUT00000007603
ENSOCUG00000011785	KLHL38	ENSOCUT00000011781
ENSOCUG00000002223	ZNF500	ENSOCUT00000002224
ENSOCUG00000011502	NAN	ENSOCUT00000011500
ENSOCUG00000021407	NAN	ENSOCUT00000030564
ENSOCUG00000013824	KIFAP3	ENSOCUT00000013833
ENSOCUG00000016543	ITPK1	ENSOCUT00000001329
ENSOCUG00000001409	EPN2	ENSOCUT00000001409
ENSOCUG00000007505	C9orf153	ENSOCUT00000007501
ENSOCUG00000011296	GLB1L3	ENSOCUT00000011297
ENSOCUG00000022436	NAN	ENSOCUT00000021036
ENSOCUG00000013544	ATP6V0A4	ENSOCUT00000013551
ENSOCUG00000005297	ZDHHC22	ENSOCUT00000005292
ENSOCUG00000015691	NAN	ENSOCUT00000015694
ENSOCUG00000006806	ZWINT	ENSOCUT00000006806
ENSOCUG00000024680	NAN	ENSOCUT00000011527
ENSOCUG00000021306	HIST1H2AB	ENSOCUT00000027515
ENSOCUG00000024405	OTOP1	ENSOCUT00000028957
ENSOCUG00000014490	BET1L	ENSOCUT00000014486
ENSOCUG00000017739	BRINP2	ENSOCUT00000017739
ENSOCUG00000016095	NAN	ENSOCUT00000016100
ENSOCUG00000010087	NAN	ENSOCUT00000010087
ENSOCUG00000028198	BACE2	ENSOCUT00000020935
ENSOCUG00000009962	OTOP2	ENSOCUT00000033874,ENSOCUT00000009965
ENSOCUG00000009587	ESCO1	ENSOCUT00000009584
ENSOCUG00000015063	URI1	ENSOCUT00000015063
ENSOCUG00000002684	BSX	ENSOCUT00000022794,ENSOCUT00000002681
ENSOCUG00000015945	MCC	ENSOCUT00000015952
ENSOCUG00000002120	CMIP	ENSOCUT00000002123
ENSOCUG00000026676	NAN	ENSOCUT00000030906
ENSOCUG00000029412	NAN	ENSOCUT00000029421
ENSOCUG00000008579	VASH2	ENSOCUT00000029721
ENSOCUG00000005245	WHSC1	ENSOCUT00000005247
ENSOCUG00000005240	F9	ENSOCUT00000005236
ENSOCUG00000003528	ATOH8	ENSOCUT00000003525
ENSOCUG00000003686	USP8	ENSOCUT00000003687
ENSOCUG00000024971	NAN	ENSOCUT00000006627
ENSOCUG00000010530	URGCP	ENSOCUT00000010527
ENSOCUG00000012771	COG5	ENSOCUT00000012770
ENSOCUG00000008118	LYPD6	ENSOCUT00000008117
