human,rhesus,rat,mouse
ENSG00000205339,ENSMMUG00000023636,ENSRNOG00000010427,ENSMUSG00000066232
ENSG00000113448,ENSMMUG00000012132,ENSRNOG00000042536,ENSMUSG00000021699
ENSG00000143774,ENSMMUG00000023085,ENSRNOG00000002928,ENSMUSG00000020444
ENSG00000140511,ENSMMUG00000000556,ENSRNOG00000022321,ENSMUSG00000030606
ENSG00000140263,ENSMMUG00000015971,ENSRNOG00000017291,ENSMUSG00000027227
ENSG00000171729,ENSMMUG00000006164,ENSRNOG00000014197,ENSMUSG00000040616
ENSG00000213930,ENSMMUG00000020789,ENSRNOG00000014766,ENSMUSG00000036073
ENSG00000105499,ENSMMUG00000014293,ENSRNOG00000026764,ENSMUSG00000033847
ENSG00000100219,ENSMMUG00000007215,ENSRNOG00000010298,ENSMUSG00000020484
ENSG00000111364,ENSMMUG00000013178,ENSRNOG00000001043,ENSMUSG00000029389
ENSG00000101361,ENSMMUG00000013888,ENSRNOG00000007128,ENSMUSG00000027405
ENSG00000167395,ENSMMUG00000012860,ENSRNOG00000026115,ENSMUSG00000049739
ENSG00000137760,ENSMMUG00000005437,ENSRNOG00000024525,ENSMUSG00000025899
ENSG00000125826,ENSMMUG00000012601,ENSRNOG00000006695,ENSMUSG00000027466
ENSG00000072840,ENSMMUG00000020861,ENSRNOG00000007564,ENSMUSG00000029122
ENSG00000176871,ENSMMUG00000010236,ENSRNOG00000001135,ENSMUSG00000029364
ENSG00000014824,ENSMMUG00000022782,ENSRNOG00000002246,ENSMUSG00000029221
ENSG00000104723,ENSMMUG00000007068,ENSRNOG00000013061,ENSMUSG00000039530
ENSG00000170485,ENSMMUG00000009871,ENSRNOG00000013408,ENSMUSG00000026077
ENSG00000175787,ENSMMUG00000015805,ENSRNOG00000017092,ENSMUSG00000050954
ENSG00000160746,ENSMMUG00000001029,ENSRNOG00000000219,ENSMUSG00000037949
ENSG00000126368,ENSMMUG00000002933,ENSRNOG00000009329,ENSMUSG00000020889
ENSG00000160299,ENSMMUG00000012914,ENSRNOG00000001276,ENSMUSG00000001151
ENSG00000124688,ENSMMUG00000006363,ENSRNOG00000019463,ENSMUSG00000034509
ENSG00000107554,ENSMMUG00000023765,ENSRNOG00000050742,ENSMUSG00000025195
ENSG00000177051,ENSMMUG00000021360,ENSRNOG00000008815,ENSMUSG00000050428
ENSG00000123472,ENSMMUG00000004863,ENSRNOG00000010169,ENSMUSG00000028710
ENSG00000213694,ENSMMUG00000020356,ENSRNOG00000014524,ENSMUSG00000067586
ENSG00000197261,ENSMMUG00000012076,ENSRNOG00000048967,ENSMUSG00000054951
ENSG00000102580,ENSMMUG00000005841,ENSRNOG00000010352,ENSMUSG00000022136
ENSG00000163659,ENSMMUG00000000366,ENSRNOG00000011238,ENSMUSG00000034640
ENSG00000197579,ENSMMUG00000002686,ENSRNOG00000006485,ENSMUSG00000036822
ENSG00000104973,ENSMMUG00000020175,ENSRNOG00000020363,ENSMUSG00000002968
ENSG00000135363,ENSMMUG00000007633,ENSRNOG00000009401,ENSMUSG00000032698
ENSG00000131435,ENSMMUG00000009298,ENSRNOG00000050794,ENSMUSG00000020388
ENSG00000164924,ENSMMUG00000006489,ENSRNOG00000008195,ENSMUSG00000022285
ENSG00000205593,ENSMMUG00000008327,ENSRNOG00000029866,ENSMUSG00000015377
ENSG00000145214,ENSMMUG00000017222,ENSRNOG00000024112,ENSMUSG00000004815
ENSG00000131061,ENSMMUG00000021492,ENSRNOG00000017086,ENSMUSG00000059842
ENSG00000110844,ENSMMUG00000022495,ENSRNOG00000052539,ENSMUSG00000023007
ENSG00000173786,ENSMMUG00000016114,ENSRNOG00000017496,ENSMUSG00000006782
ENSG00000261221,ENSMMUG00000028714,ENSRNOG00000028628,ENSMUSG00000074405
ENSG00000105983,ENSMMUG00000011750,ENSRNOG00000059589,ENSMUSG00000010721
ENSG00000142599,ENSMMUG00000021399,ENSRNOG00000017940,ENSMUSG00000039852
ENSG00000104388,ENSMMUG00000017038,ENSRNOG00000005963,ENSMUSG00000047187
ENSG00000187531,ENSMMUG00000012890,ENSRNOG00000036683,ENSMUSG00000025138
ENSG00000144567,ENSMMUG00000000792,ENSRNOG00000018586,ENSMUSG00000049339
ENSG00000197157,ENSMMUG00000015432,ENSRNOG00000031173,ENSMUSG00000001424
ENSG00000105732,ENSMMUG00000013374,ENSRNOG00000055761,ENSMUSG00000045252
ENSG00000133193,ENSMMUG00000001268,ENSRNOG00000002851,ENSMUSG00000041629
ENSG00000165934,ENSMMUG00000000699,ENSRNOG00000005733,ENSMUSG00000041781
ENSG00000141026,ENSMMUG00000006491,ENSRNOG00000053961,ENSMUSG00000061650
ENSG00000239264,ENSMMUG00000021601,ENSRNOG00000013469,ENSMUSG00000038991
ENSG00000117155,ENSMMUG00000006203,ENSRNOG00000015425,ENSMUSG00000036825
ENSG00000185246,ENSMMUG00000010862,ENSRNOG00000004521,ENSMUSG00000035597
ENSG00000198169,ENSMMUG00000028881,ENSRNOG00000030308,ENSMUSG00000022526
ENSG00000029364,ENSMMUG00000021572,ENSRNOG00000005052,ENSMUSG00000048833
ENSG00000276293,ENSMMUG00000012365,ENSRNOG00000013030,ENSMUSG00000018547
ENSG00000119688,ENSMMUG00000004041,ENSRNOG00000011964,ENSMUSG00000021240
ENSG00000158636,ENSMMUG00000022401,ENSRNOG00000015560,ENSMUSG00000035401
ENSG00000198791,ENSMMUG00000001873,ENSRNOG00000012263,ENSMUSG00000031601
ENSG00000082153,ENSMMUG00000022202,ENSRNOG00000013977,ENSMUSG00000051223
ENSG00000115415,ENSMMUG00000005613,ENSRNOG00000014079,ENSMUSG00000026104
ENSG00000101363,ENSMMUG00000012536,ENSRNOG00000031453,ENSMUSG00000063019
ENSG00000145996,ENSMMUG00000007954,ENSRNOG00000018381,ENSMUSG00000006191
ENSG00000112033,ENSMMUG00000015904,ENSRNOG00000000503,ENSMUSG00000002250
ENSG00000111667,ENSMMUG00000005192,ENSRNOG00000015409,ENSMUSG00000038429
ENSG00000156194,ENSMMUG00000015716,ENSRNOG00000052061,ENSMUSG00000029410
ENSG00000240891,ENSMMUG00000000692,ENSRNOG00000042289,ENSMUSG00000087141
ENSG00000092929,ENSMMUG00000002822,ENSRNOG00000007439,ENSMUSG00000057948
ENSG00000101346,ENSMMUG00000008979,ENSRNOG00000010104,ENSMUSG00000046020
ENSG00000119125,ENSMMUG00000019196,ENSRNOG00000018282,ENSMUSG00000058624
ENSG00000145781,ENSMMUG00000008738,ENSRNOG00000003958,ENSMUSG00000042705
ENSG00000166016,ENSMMUG00000021647,ENSRNOG00000008510,ENSMUSG00000032724
ENSG00000150712,ENSMMUG00000006600,ENSRNOG00000022929,ENSMUSG00000039458
ENSG00000091157,ENSMMUG00000012916,ENSRNOG00000018387,ENSMUSG00000040560
ENSG00000063169,ENSMMUG00000019356,ENSRNOG00000011262,ENSMUSG00000070808
ENSG00000174437,ENSMMUG00000001739,ENSRNOG00000001285,ENSMUSG00000029467
ENSG00000139625,ENSMMUG00000006613,ENSRNOG00000015134,ENSMUSG00000023050
ENSG00000165506,ENSMMUG00000008284,ENSRNOG00000028155,ENSMUSG00000020973
ENSG00000183340,ENSMMUG00000003821,ENSRNOG00000047133,ENSMUSG00000079083
ENSG00000006125,ENSMMUG00000006048,ENSRNOG00000061543,ENSMUSG00000035152
ENSG00000131323,ENSMMUG00000011752,ENSRNOG00000008145,ENSMUSG00000021277
ENSG00000278129,ENSMMUG00000020508,ENSRNOG00000031459,ENSMUSG00000060397
ENSG00000166860,ENSMMUG00000021115,ENSRNOG00000004306,ENSMUSG00000044617
ENSG00000066855,ENSMMUG00000011263,ENSRNOG00000021359,ENSMUSG00000027601
ENSG00000105176,ENSMMUG00000018441,ENSRNOG00000014463,ENSMUSG00000030421
ENSG00000002016,ENSMMUG00000018654,ENSRNOG00000009742,ENSMUSG00000030166
ENSG00000183644,ENSMMUG00000021439,ENSRNOG00000043383,ENSMUSG00000032057
ENSG00000134107,ENSMMUG00000014588,ENSRNOG00000007152,ENSMUSG00000030103
ENSG00000145826,ENSMMUG00000001947,ENSRNOG00000012189,ENSMUSG00000021539
ENSG00000115844,ENSMMUG00000017594,ENSRNOG00000001519,ENSMUSG00000023391
ENSG00000133121,ENSMMUG00000017052,ENSRNOG00000001090,ENSMUSG00000016128
ENSG00000168014,ENSMMUG00000010321,ENSRNOG00000017608,ENSMUSG00000047248
ENSG00000198920,ENSMMUG00000003784,ENSRNOG00000014027,ENSMUSG00000020807
ENSG00000102471,ENSMMUG00000007531,ENSRNOG00000024022,ENSMUSG00000053253
ENSG00000103175,ENSMMUG00000004442,ENSRNOG00000015904,ENSMUSG00000023336
ENSG00000114030,ENSMMUG00000016379,ENSRNOG00000051711,ENSMUSG00000022905
ENSG00000089916,ENSMMUG00000008792,ENSRNOG00000010227,ENSMUSG00000021254
ENSG00000163812,ENSMMUG00000019740,ENSRNOG00000004344,ENSMUSG00000025786
ENSG00000111880,ENSMMUG00000020097,ENSRNOG00000007867,ENSMUSG00000028274
ENSG00000006459,ENSMMUG00000008126,ENSRNOG00000052445,ENSMUSG00000042599
ENSG00000006652,ENSMMUG00000008033,ENSRNOG00000050997,ENSMUSG00000001627
ENSG00000117862,ENSMMUG00000003290,ENSRNOG00000008090,ENSMUSG00000028567
ENSG00000213588,ENSMMUG00000029765,ENSRNOG00000026799,ENSMUSG00000079605
ENSG00000011295,ENSMMUG00000008949,ENSRNOG00000002977,ENSMUSG00000042298
ENSG00000187742,ENSMMUG00000012532,ENSRNOG00000013773,ENSMUSG00000035139
ENSG00000166289,ENSMMUG00000011373,ENSRNOG00000027724,ENSMUSG00000074170
ENSG00000170266,ENSMMUG00000020109,ENSRNOG00000010196,ENSMUSG00000045594
ENSG00000130396,ENSMMUG00000021044,ENSRNOG00000023753,ENSMUSG00000068036
ENSG00000166147,ENSMMUG00000004239,ENSRNOG00000007302,ENSMUSG00000027204
ENSG00000000457,ENSMMUG00000016583,ENSRNOG00000025318,ENSMUSG00000026584
ENSG00000061676,ENSMMUG00000014397,ENSRNOG00000007518,ENSMUSG00000027002
ENSG00000130254,ENSMMUG00000017968,ENSRNOG00000049511,ENSMUSG00000042625
ENSG00000091073,ENSMMUG00000017570,ENSRNOG00000001432,ENSMUSG00000004947
ENSG00000119820,ENSMMUG00000016094,ENSRNOG00000005610,ENSMUSG00000024072
ENSG00000198440,ENSMMUG00000003257,ENSRNOG00000034184,ENSMUSG00000030443
ENSG00000184677,ENSMMUG00000018618,ENSRNOG00000022039,ENSMUSG00000060862
ENSG00000149313,ENSMMUG00000010990,ENSRNOG00000005795,ENSMUSG00000025894
ENSG00000145287,ENSMMUG00000022311,ENSRNOG00000002217,ENSMUSG00000029322
ENSG00000120539,ENSMMUG00000016407,ENSRNOG00000054474,ENSMUSG00000026779
ENSG00000005022,ENSMMUG00000022663,ENSRNOG00000039980,ENSMUSG00000016319
ENSG00000165152,ENSMMUG00000023797,ENSRNOG00000006800,ENSMUSG00000039611
ENSG00000171055,ENSMMUG00000013963,ENSRNOG00000004577,ENSMUSG00000056121
ENSG00000188566,ENSMMUG00000018107,ENSRNOG00000010616,ENSMUSG00000006471
ENSG00000149115,ENSMMUG00000017809,ENSRNOG00000009195,ENSMUSG00000033955
ENSG00000137502,ENSMMUG00000007842,ENSRNOG00000010224,ENSMUSG00000030643
ENSG00000154127,ENSMMUG00000002919,ENSRNOG00000008187,ENSMUSG00000032020
ENSG00000108799,ENSMMUG00000006093,ENSRNOG00000020336,ENSMUSG00000006920
ENSG00000069248,ENSMMUG00000022091,ENSRNOG00000017919,ENSMUSG00000039509
ENSG00000146872,ENSMMUG00000002166,ENSRNOG00000006285,ENSMUSG00000020694
ENSG00000112339,ENSMMUG00000004802,ENSRNOG00000014531,ENSMUSG00000019977
ENSG00000152683,ENSMMUG00000030876,ENSRNOG00000005856,ENSMUSG00000024069
ENSG00000159256,ENSMMUG00000020043,ENSRNOG00000026236,ENSMUSG00000039456
ENSG00000132388,ENSMMUG00000005080,ENSRNOG00000010041,ENSMUSG00000020794
ENSG00000048140,ENSMMUG00000000144,ENSRNOG00000018122,ENSMUSG00000025875
ENSG00000184575,ENSMMUG00000007659,ENSRNOG00000007088,ENSMUSG00000034667
ENSG00000130203,ENSMMUG00000014305,ENSRNOG00000018454,ENSMUSG00000002985
ENSG00000142751,ENSMMUG00000018721,ENSRNOG00000007083,ENSMUSG00000028848
ENSG00000188352,ENSMMUG00000019070,ENSRNOG00000024402,ENSMUSG00000038368
ENSG00000196182,ENSMMUG00000016212,ENSRNOG00000025679,ENSMUSG00000042608
ENSG00000132478,ENSMMUG00000013646,ENSRNOG00000006600,ENSMUSG00000020770
ENSG00000055483,ENSMMUG00000005352,ENSRNOG00000028255,ENSMUSG00000033909
ENSG00000133247,ENSMMUG00000003069,ENSRNOG00000017508,ENSMUSG00000059851
ENSG00000165119,ENSMMUG00000018871,ENSRNOG00000019113,ENSMUSG00000021546
ENSG00000178623,ENSMMUG00000015419,ENSRNOG00000024030,ENSMUSG00000026271
ENSG00000125845,ENSMMUG00000019849,ENSRNOG00000021276,ENSMUSG00000027358
ENSG00000174840,ENSMMUG00000004052,ENSRNOG00000059442,ENSMUSG00000043702
ENSG00000153922,ENSMMUG00000014090,ENSRNOG00000014434,ENSMUSG00000023852
ENSG00000072609,ENSMMUG00000015468,ENSRNOG00000037430,ENSMUSG00000014668
ENSG00000140694,ENSMMUG00000018849,ENSRNOG00000002912,ENSMUSG00000022685
ENSG00000245680,ENSMMUG00000000107,ENSRNOG00000047627,ENSMUSG00000062040
ENSG00000114019,ENSMMUG00000021694,ENSRNOG00000008487,ENSMUSG00000032531
ENSG00000113391,ENSMMUG00000001722,ENSRNOG00000013844,ENSMUSG00000064138
ENSG00000198431,ENSMMUG00000012091,ENSRNOG00000009088,ENSMUSG00000020250
ENSG00000175573,ENSMMUG00000008654,ENSRNOG00000020551,ENSMUSG00000047423
ENSG00000105355,ENSMMUG00000014816,ENSRNOG00000048834,ENSMUSG00000024197
ENSG00000100226,ENSMMUG00000007277,ENSRNOG00000014634,ENSMUSG00000042535
ENSG00000176903,ENSMMUG00000004911,ENSRNOG00000010553,ENSMUSG00000054383
ENSG00000103018,ENSMMUG00000012039,ENSRNOG00000011142,ENSMUSG00000031924
ENSG00000053501,ENSMMUG00000011589,ENSRNOG00000016619,ENSMUSG00000002395
ENSG00000181220,ENSMMUG00000018707,ENSRNOG00000007064,ENSMUSG00000057691
ENSG00000176401,ENSMMUG00000004549,ENSRNOG00000045545,ENSMUSG00000070705
ENSG00000134153,ENSMMUG00000000010,ENSRNOG00000005884,ENSMUSG00000055943
ENSG00000182512,ENSMMUG00000017079,ENSRNOG00000004206,ENSMUSG00000021102
ENSG00000103326,ENSMMUG00000000615,ENSRNOG00000020239,ENSMUSG00000037326
ENSG00000009844,ENSMMUG00000023012,ENSRNOG00000011540,ENSMUSG00000019868
ENSG00000149084,ENSMMUG00000018465,ENSRNOG00000009630,ENSMUSG00000027195
ENSG00000142892,ENSMMUG00000020217,ENSRNOG00000042359,ENSMUSG00000039047
ENSG00000186417,ENSMMUG00000005976,ENSRNOG00000024082,ENSMUSG00000046167
ENSG00000164933,ENSMMUG00000019404,ENSRNOG00000004403,ENSMUSG00000022299
ENSG00000119383,ENSMMUG00000002515,ENSRNOG00000018457,ENSMUSG00000039515
ENSG00000164300,ENSMMUG00000023533,ENSRNOG00000024039,ENSMUSG00000021703
ENSG00000137216,ENSMMUG00000016230,ENSRNOG00000019743,ENSMUSG00000036026
ENSG00000144560,ENSMMUG00000021806,ENSRNOG00000007822,ENSMUSG00000030315
ENSG00000109065,ENSMMUG00000005738,ENSRNOG00000003264,ENSMUSG00000015542
ENSG00000067606,ENSMMUG00000018911,ENSRNOG00000015480,ENSMUSG00000029053
ENSG00000139597,ENSMMUG00000007198,ENSRNOG00000059322,ENSMUSG00000041132
ENSG00000134291,ENSMMUG00000011441,ENSRNOG00000053269,ENSMUSG00000052369
ENSG00000188501,ENSMMUG00000017447,ENSRNOG00000009193,ENSMUSG00000032401
ENSG00000007202,ENSMMUG00000023412,ENSRNOG00000011887,ENSMUSG00000010277
ENSG00000115183,ENSMMUG00000006180,ENSRNOG00000025394,ENSMUSG00000035168
ENSG00000085719,ENSMMUG00000006308,ENSRNOG00000006298,ENSMUSG00000028228
ENSG00000103510,ENSMMUG00000002030,ENSRNOG00000019585,ENSMUSG00000030801
ENSG00000153446,ENSMMUG00000017225,ENSRNOG00000021796,ENSMUSG00000051669
ENSG00000164292,ENSMMUG00000021165,ENSRNOG00000012414,ENSMUSG00000021589
ENSG00000163872,ENSMMUG00000008070,ENSRNOG00000023107,ENSMUSG00000041215
ENSG00000213085,ENSMMUG00000011342,ENSRNOG00000008492,ENSMUSG00000026546
ENSG00000166261,ENSMMUG00000010646,ENSRNOG00000058932,ENSMUSG00000025602
ENSG00000075399,ENSMMUG00000002505,ENSRNOG00000028904,ENSMUSG00000001062
ENSG00000173039,ENSMMUG00000007418,ENSRNOG00000030888,ENSMUSG00000024927
ENSG00000139977,ENSMMUG00000021311,ENSRNOG00000014192,ENSMUSG00000036282
ENSG00000009335,ENSMMUG00000008733,ENSRNOG00000010702,ENSMUSG00000039000
ENSG00000133392,ENSMMUG00000010367,ENSRNOG00000057880,ENSMUSG00000018830
ENSG00000147324,ENSMMUG00000016708,ENSRNOG00000011431,ENSMUSG00000070056
ENSG00000178188,ENSMMUG00000023524,ENSRNOG00000049181,ENSMUSG00000030733
ENSG00000171155,ENSMMUG00000023574,ENSRNOG00000002536,ENSMUSG00000048970
ENSG00000062716,ENSMMUG00000001741,ENSRNOG00000003967,ENSMUSG00000018171
ENSG00000123444,ENSMMUG00000004289,ENSRNOG00000009397,ENSMUSG00000005505
ENSG00000118985,ENSMMUG00000005314,ENSRNOG00000027089,ENSMUSG00000001542
ENSG00000083807,ENSMMUG00000017873,ENSRNOG00000019626,ENSMUSG00000030382
ENSG00000151914,ENSMMUG00000000777,ENSRNOG00000012207,ENSMUSG00000026131
ENSG00000184381,ENSMMUG00000002701,ENSRNOG00000012295,ENSMUSG00000042632
ENSG00000047315,ENSMMUG00000014008,ENSRNOG00000024779,ENSMUSG00000029250
ENSG00000137752,ENSMMUG00000009852,ENSRNOG00000007372,ENSMUSG00000025888
ENSG00000108654,ENSMMUG00000009463,ENSRNOG00000030680,ENSMUSG00000020719
ENSG00000072415,ENSMMUG00000021417,ENSRNOG00000008788,ENSMUSG00000021112
ENSG00000151726,ENSMMUG00000012177,ENSRNOG00000010633,ENSMUSG00000018796
ENSG00000057294,ENSMMUG00000000595,ENSRNOG00000001825,ENSMUSG00000041957
ENSG00000116473,ENSMMUG00000014486,ENSRNOG00000032463,ENSMUSG00000068798
ENSG00000132740,ENSMMUG00000010128,ENSRNOG00000013456,ENSMUSG00000024831
ENSG00000145217,ENSMMUG00000017223,ENSRNOG00000000041,ENSMUSG00000046959
ENSG00000185875,ENSMMUG00000022383,ENSRNOG00000033076,ENSMUSG00000048550
ENSG00000079999,ENSMMUG00000005218,ENSRNOG00000020878,ENSMUSG00000003308
ENSG00000125398,ENSMMUG00000002412,ENSRNOG00000002607,ENSMUSG00000000567
ENSG00000088179,ENSMMUG00000005610,ENSRNOG00000002625,ENSMUSG00000026384
ENSG00000010295,ENSMMUG00000018681,ENSRNOG00000018533,ENSMUSG00000038271
ENSG00000088448,ENSMMUG00000018929,ENSRNOG00000013618,ENSMUSG00000031508
ENSG00000137509,ENSMMUG00000007838,ENSRNOG00000010630,ENSMUSG00000061119
ENSG00000083312,ENSMMUG00000020923,ENSRNOG00000014999,ENSMUSG00000009470
ENSG00000175348,ENSMMUG00000001998,ENSRNOG00000013591,ENSMUSG00000031021
ENSG00000135596,ENSMMUG00000023221,ENSRNOG00000000307,ENSMUSG00000019823
ENSG00000138430,ENSMMUG00000007092,ENSRNOG00000019047,ENSMUSG00000027108
ENSG00000130749,ENSMMUG00000014709,ENSRNOG00000015229,ENSMUSG00000059273
ENSG00000153094,ENSMMUG00000018423,ENSRNOG00000016551,ENSMUSG00000027381
ENSG00000197043,ENSMMUG00000021053,ENSRNOG00000010668,ENSMUSG00000018340
ENSG00000157368,ENSMMUG00000020415,ENSRNOG00000017602,ENSMUSG00000031750
ENSG00000163938,ENSMMUG00000012511,ENSRNOG00000028461,ENSMUSG00000042354
ENSG00000101367,ENSMMUG00000001816,ENSRNOG00000011798,ENSMUSG00000027479
ENSG00000168385,ENSMMUG00000004736,ENSRNOG00000017952,ENSMUSG00000026276
ENSG00000122694,ENSMMUG00000010213,ENSRNOG00000014838,ENSMUSG00000028480
ENSG00000138095,ENSMMUG00000019841,ENSRNOG00000005877,ENSMUSG00000024120
ENSG00000160051,ENSMMUG00000017718,ENSRNOG00000048553,ENSMUSG00000040795
ENSG00000151239,ENSMMUG00000006154,ENSRNOG00000022507,ENSMUSG00000022451
ENSG00000008513,ENSMMUG00000012531,ENSRNOG00000008209,ENSMUSG00000013846
ENSG00000139746,ENSMMUG00000007529,ENSRNOG00000009836,ENSMUSG00000022119
ENSG00000110880,ENSMMUG00000000512,ENSRNOG00000000697,ENSMUSG00000004530
ENSG00000185359,ENSMMUG00000008833,ENSRNOG00000036696,ENSMUSG00000025793
ENSG00000161021,ENSMMUG00000012371,ENSRNOG00000003268,ENSMUSG00000050567
ENSG00000218891,ENSMMUG00000016614,ENSRNOG00000016608,ENSMUSG00000051550
ENSG00000168028,ENSMMUG00000022965,ENSRNOG00000018645,ENSMUSG00000032518
ENSG00000162994,ENSMMUG00000011346,ENSRNOG00000004456,ENSMUSG00000020461
ENSG00000057663,ENSMMUG00000019679,ENSRNOG00000000322,ENSMUSG00000038160
ENSG00000013583,ENSMMUG00000017633,ENSRNOG00000000024,ENSMUSG00000042770
ENSG00000111647,ENSMMUG00000023601,ENSRNOG00000050317,ENSMUSG00000019951
ENSG00000164209,ENSMMUG00000009624,ENSRNOG00000017091,ENSMUSG00000024259
ENSG00000073169,ENSMMUG00000014098,ENSRNOG00000060120,ENSMUSG00000035757
ENSG00000081177,ENSMMUG00000020514,ENSRNOG00000027707,ENSMUSG00000032705
ENSG00000184840,ENSMMUG00000006055,ENSRNOG00000021882,ENSMUSG00000058569
ENSG00000186566,ENSMMUG00000012658,ENSRNOG00000021044,ENSMUSG00000034621
ENSG00000177125,ENSMMUG00000013641,ENSRNOG00000032700,ENSMUSG00000068966
ENSG00000124228,ENSMMUG00000023621,ENSRNOG00000008081,ENSMUSG00000017999
ENSG00000164823,ENSMMUG00000014518,ENSRNOG00000009358,ENSMUSG00000041153
ENSG00000082512,ENSMMUG00000031427,ENSRNOG00000047957,ENSMUSG00000026637
ENSG00000184014,ENSMMUG00000021142,ENSRNOG00000012206,ENSMUSG00000035901
ENSG00000138071,ENSMMUG00000002263,ENSRNOG00000004959,ENSMUSG00000020152
ENSG00000185909,ENSMMUG00000002833,ENSRNOG00000047867,ENSMUSG00000032609
ENSG00000206538,ENSMMUG00000000519,ENSRNOG00000028774,ENSMUSG00000091243
ENSG00000109171,ENSMMUG00000021719,ENSRNOG00000002271,ENSMUSG00000036087
ENSG00000140374,ENSMMUG00000011045,ENSRNOG00000015233,ENSMUSG00000032314
ENSG00000102178,ENSMMUG00000009015,ENSRNOG00000053061,ENSMUSG00000015290
ENSG00000184203,ENSMMUG00000019396,ENSRNOG00000001733,ENSMUSG00000047714
ENSG00000109814,ENSMMUG00000001892,ENSRNOG00000002643,ENSMUSG00000029201
ENSG00000189091,ENSMMUG00000017812,ENSRNOG00000017724,ENSMUSG00000033732
ENSG00000172935,ENSMMUG00000001866,ENSRNOG00000013426,ENSMUSG00000031070
ENSG00000169223,ENSMMUG00000016192,ENSRNOG00000016161,ENSMUSG00000021484
ENSG00000153933,ENSMMUG00000005789,ENSRNOG00000002338,ENSMUSG00000000276
ENSG00000081014,ENSMMUG00000015159,ENSRNOG00000022938,ENSMUSG00000001998
ENSG00000188725,ENSMMUG00000021815,ENSRNOG00000031995,ENSMUSG00000071180
ENSG00000119396,ENSMMUG00000005595,ENSRNOG00000018901,ENSMUSG00000026878
ENSG00000100433,ENSMMUG00000021010,ENSRNOG00000003813,ENSMUSG00000033854
ENSG00000213246,ENSMMUG00000007579,ENSRNOG00000007845,ENSMUSG00000020485
ENSG00000108588,ENSMMUG00000016761,ENSRNOG00000009006,ENSMUSG00000078622
ENSG00000176055,ENSMMUG00000018971,ENSRNOG00000016252,ENSMUSG00000051098
ENSG00000148925,ENSMMUG00000009695,ENSRNOG00000014341,ENSMUSG00000038187
ENSG00000144228,ENSMMUG00000002560,ENSRNOG00000005070,ENSMUSG00000026771
ENSG00000122870,ENSMMUG00000015750,ENSRNOG00000000614,ENSMUSG00000014329
ENSG00000187735,ENSMMUG00000016022,ENSRNOG00000022323,ENSMUSG00000033813
ENSG00000176438,ENSMMUG00000004931,ENSRNOG00000005287,ENSMUSG00000054150
ENSG00000244405,ENSMMUG00000013610,ENSRNOG00000001785,ENSMUSG00000013089
ENSG00000101306,ENSMMUG00000000968,ENSRNOG00000008235,ENSMUSG00000027470
ENSG00000145817,ENSMMUG00000020763,ENSRNOG00000014564,ENSMUSG00000024487
ENSG00000005339,ENSMMUG00000002286,ENSRNOG00000005330,ENSMUSG00000022521
ENSG00000112237,ENSMMUG00000004061,ENSRNOG00000007719,ENSMUSG00000028252
ENSG00000125703,ENSMMUG00000000386,ENSRNOG00000008767,ENSMUSG00000028550
ENSG00000108100,ENSMMUG00000006713,ENSRNOG00000018123,ENSMUSG00000024286
ENSG00000197321,ENSMMUG00000001374,ENSRNOG00000018110,ENSMUSG00000024236
ENSG00000049130,ENSMMUG00000004504,ENSRNOG00000005386,ENSMUSG00000019966
ENSG00000133703,ENSMMUG00000015381,ENSRNOG00000009338,ENSMUSG00000030265
ENSG00000136634,ENSMMUG00000023569,ENSRNOG00000004647,ENSMUSG00000016529
ENSG00000088726,ENSMMUG00000010276,ENSRNOG00000010430,ENSMUSG00000059900
ENSG00000114302,ENSMMUG00000000081,ENSRNOG00000020284,ENSMUSG00000032601
ENSG00000141756,ENSMMUG00000013054,ENSRNOG00000015941,ENSMUSG00000001555
ENSG00000055070,ENSMMUG00000014192,ENSRNOG00000009183,ENSMUSG00000040842
ENSG00000197461,ENSMMUG00000004949,ENSRNOG00000001312,ENSMUSG00000025856
ENSG00000204655,ENSMMUG00000002967,ENSRNOG00000000775,ENSMUSG00000076439
ENSG00000127511,ENSMMUG00000018504,ENSRNOG00000048622,ENSMUSG00000031622
ENSG00000169660,ENSMMUG00000019221,ENSRNOG00000036667,ENSMUSG00000039307
ENSG00000129933,ENSMMUG00000008931,ENSRNOG00000020526,ENSMUSG00000031858
ENSG00000156110,ENSMMUG00000022237,ENSRNOG00000012325,ENSMUSG00000039197
ENSG00000170113,ENSMMUG00000003013,ENSRNOG00000042702,ENSMUSG00000047037
ENSG00000138175,ENSMMUG00000019158,ENSRNOG00000019973,ENSMUSG00000025035
ENSG00000166819,ENSMMUG00000017746,ENSRNOG00000015086,ENSMUSG00000030546
ENSG00000116489,ENSMMUG00000015668,ENSRNOG00000013538,ENSMUSG00000070372
ENSG00000136048,ENSMMUG00000004689,ENSRNOG00000038916,ENSMUSG00000020057
ENSG00000103160,ENSMMUG00000020055,ENSRNOG00000015576,ENSMUSG00000034189
ENSG00000135740,ENSMMUG00000018113,ENSRNOG00000028844,ENSMUSG00000014786
ENSG00000047457,ENSMMUG00000005529,ENSRNOG00000011913,ENSMUSG00000003617
ENSG00000196700,ENSMMUG00000015556,ENSRNOG00000015558,ENSMUSG00000000823
ENSG00000095066,ENSMMUG00000005686,ENSRNOG00000003682,ENSMUSG00000052566
